Scenario,Replication,Random_Seed,Type,total_throughput,drive_thru_throughput,walk_in_throughput,mobile_throughput,drive_thru_avg_wait,drive_thru_p90_wait,drive_thru_max_wait,walk_in_avg_wait,walk_in_p90_wait,walk_in_max_wait,mobile_avg_wait,mobile_p90_wait,mobile_max_wait,cashier_avg_length,cashier_max_length,drive_thru_avg_length,drive_thru_max_length,pickup_shelf_avg_length,pickup_shelf_max_length,reneged_customers,balked_customers,total_customers,service_rate,revenue,labor_cost,penalties,profit,total_throughput_std,total_throughput_min,total_throughput_max,drive_thru_max_wait_std,drive_thru_max_wait_min,drive_thru_max_wait_max,walk_in_throughput_std,walk_in_throughput_min,walk_in_throughput_max,total_customers_std,total_customers_min,total_customers_max,walk_in_max_wait_std,walk_in_max_wait_min,walk_in_max_wait_max,drive_thru_avg_length_std,drive_thru_avg_length_min,drive_thru_avg_length_max,labor_cost_std,labor_cost_min,labor_cost_max,walk_in_p90_wait_std,walk_in_p90_wait_min,walk_in_p90_wait_max,revenue_std,revenue_min,revenue_max,drive_thru_avg_wait_std,drive_thru_avg_wait_min,drive_thru_avg_wait_max,pickup_shelf_avg_length_std,pickup_shelf_avg_length_min,pickup_shelf_avg_length_max,cashier_avg_length_std,cashier_avg_length_min,cashier_avg_length_max,mobile_throughput_std,mobile_throughput_min,mobile_throughput_max,drive_thru_max_length_std,drive_thru_max_length_min,drive_thru_max_length_max,drive_thru_throughput_std,drive_thru_throughput_min,drive_thru_throughput_max,walk_in_avg_wait_std,walk_in_avg_wait_min,walk_in_avg_wait_max,mobile_max_wait_std,mobile_max_wait_min,mobile_max_wait_max,mobile_p90_wait_std,mobile_p90_wait_min,mobile_p90_wait_max,drive_thru_p90_wait_std,drive_thru_p90_wait_min,drive_thru_p90_wait_max,mobile_avg_wait_std,mobile_avg_wait_min,mobile_avg_wait_max,reneged_customers_std,reneged_customers_min,reneged_customers_max,penalties_std,penalties_min,penalties_max,pickup_shelf_max_length_std,pickup_shelf_max_length_min,pickup_shelf_max_length_max,service_rate_std,service_rate_min,service_rate_max,profit_std,profit_min,profit_max,cashier_max_length_std,cashier_max_length_min,cashier_max_length_max,balked_customers_std,balked_customers_min,balked_customers_max
Base Configuration,1,1000,Individual_Run,1503.0,8.0,839.0,656.0,4.876358643755175,6.314625489803925,6.57977121978057,48.04429860994592,117.89816415999643,148.45529709564164,47.36736686882524,118.96316418848534,139.79767092383725,4.136904761904762,11.0,7.940476190476191,8.0,0.0,0.0,0.0,2022.0,3986.0,0.3770697441043653,12775.5,3423.0,7012.0,2340.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Configuration,2,1001,Individual_Run,1513.0,8.0,855.0,650.0,5.306030307057808,9.256244496626643,9.412950066664948,51.669727545627545,122.03447268396515,140.5710869597134,49.58420852548072,118.13238995148217,135.17796845652128,3.3392857142857144,11.0,7.946428571428571,8.0,0.0,0.0,0.0,1913.0,3854.0,0.392579138557343,12860.5,3423.0,6681.0,2756.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Configuration,3,1002,Individual_Run,1526.0,8.0,857.0,661.0,9.607620176643515,16.88486532203959,20.042847280618417,50.304715542813234,135.94184938254998,157.68022911980813,51.58503274311177,134.5307967662451,145.9314945114777,3.5595238095238093,11.0,7.940476190476191,8.0,0.0,0.0,0.0,1949.0,3973.0,0.38409262522023657,12971.0,3423.0,6627.0,2921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Configuration,4,1003,Individual_Run,1504.0,8.0,854.0,642.0,9.362771857153115,12.35255436538932,12.930227148449495,51.21208317740093,131.32494926488022,151.81017995168315,49.14571403686804,129.1224843985037,148.22140116767343,3.2976190476190474,11.0,7.9523809523809526,8.0,0.0,0.0,0.0,1874.0,3844.0,0.39125910509885536,12784.0,3423.0,6332.0,3029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Configuration,5,1004,Individual_Run,1576.0,8.0,878.0,690.0,7.238618473220204,14.636132876212542,16.302120507251658,46.00694349143605,113.08369849331017,135.58093097280982,45.98629852945002,108.12159783044667,133.44799490550554,4.2023809523809526,11.0,7.9523809523809526,8.0,0.0,0.0,0.0,1945.0,3954.0,0.39858371269600407,13396.0,3423.0,6637.0,3336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Configuration,Average,N/A,Average_Across_Runs,1524.4,8.0,856.6,659.8,7.278279891565964,11.888884510014403,13.053583244553016,49.44755367344474,124.05662679694038,146.81954481993122,48.73372414074716,121.7740866270326,140.51530599300304,3.707142857142857,11.0,7.946428571428572,8.0,0.0,0.0,0.0,1940.6,3922.2,0.38871686513536086,12957.4,3423.0,6657.8,2876.6,27.08948135347002,1503.0,1576.0,4.7871176068162855,6.57977121978057,20.042847280618417,12.467557900406959,839.0,878.0,60.71046038369336,3844.0,3986.0,7.885255288486073,135.58093097280982,157.68022911980813,0.0053239713749994805,7.940476190476191,7.9523809523809526,0.0,3423.0,3423.0,8.44402690984947,113.08369849331017,135.94184938254998,230.26059150449515,12775.5,13396.0,1.9713700845181392,4.876358643755175,9.607620176643515,0.0,0.0,0.0,0.38852955540023104,3.2976190476190474,4.2023809523809526,16.375591592366977,642.0,690.0,0.0,8.0,8.0,0.0,8.0,8.0,2.125712621998564,46.00694349143605,51.669727545627545,5.790821340484161,133.44799490550554,148.22140116767343,9.211799969135196,108.12159783044667,134.5307967662451,3.7609930778711567,6.314625489803925,16.88486532203959,1.9203280862001215,45.98629852945002,51.58503274311177,0.0,0.0,0.0,216.1123781739491,6332.0,7012.0,0.0,0.0,0.0,0.007426625665891573,0.3770697441043653,0.39858371269600407,328.04655157462025,2340.5,3336.0,0.0,11.0,11.0,48.8122935334942,1874.0,2022.0
Increased Staff,1,2000,Individual_Run,1783.0,8.0,1049.0,726.0,5.7950189407195225,10.86463958740374,13.19705473654303,40.63084174593338,91.45903988900298,106.35036383943907,39.81735215405103,90.38699433844386,106.85078042308078,1.880952380952381,11.0,7.9523809523809526,8.0,0.0,0.0,0.0,1855.0,3964.0,0.4497981836528759,15155.5,4172.0,6405.0,4578.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increased Staff,2,2001,Individual_Run,1736.0,8.0,1025.0,703.0,4.0731983049162395,5.92069350984646,8.222797748956545,34.3794365718685,74.9416102911189,98.16365228219695,33.44462921975407,70.98923167847458,93.58599306387521,1.3869047619047619,11.0,7.9523809523809526,8.0,0.0,0.0,0.0,1826.0,3899.0,0.4452423698384201,14756.0,4172.0,6280.0,4304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increased Staff,3,2002,Individual_Run,1781.0,8.0,1050.0,723.0,8.233373444460117,11.81414609483511,16.423999035179673,34.59278055011197,81.9289023041502,125.98085082609191,36.66928467425226,78.75665792852307,118.24308946463418,1.6369047619047619,11.0,7.9523809523809526,8.0,0.0,0.0,0.0,1799.0,4037.0,0.44116918503839486,15138.5,4172.0,6199.0,4767.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increased Staff,4,2003,Individual_Run,1717.0,8.0,1016.0,693.0,6.097078582134447,10.129806214428193,12.930343449766632,36.449018698564785,81.19337258403351,109.68001225437092,35.39704751722293,78.87445767011617,104.68623684939314,1.494047619047619,11.0,7.946428571428571,8.0,0.0,0.0,0.0,1796.0,3919.0,0.43812196989027813,14594.5,4172.0,6170.0,4252.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
